"","A549","HEK293T","K562","HeLa"
"AC008878.3",0.0208235336817135,0.0318663514854815,0.0170097955010548,0.0195427397324626
"AC008982.1",0.0602237698823146,0.0533080105918738,0.0686105746597158,0.041448732490978
"AC009070.1",0.0807899242578927,0.0409616035635562,0.0838408777156165,0.277391552161537
"AC009133.6",0.273347402926172,1.1979120244775,0.531507204670205,0.469666261150747
"AC009163.3",0.00336233942916486,0.00745108990083339,0.0024095563797336,0.00156186104385787
"AC009163.5",0.13258746061614,0.199536261627415,0.0948205995540004,0.0615386688314457
"AC009412.1",0.141055365570769,0.167542518560698,0.0666046123676943,0.129523622312147
"AC009690.1",0.0606452538745725,0.0667088968741438,0.0341919725503322,0.0324226912071133
"AC009690.3",0.002312690893111,0.000151075280797524,0.000278149474838327,0
"AC009779.3",0.177450172582013,0.335226781577061,0.320763711150463,0.448467476285774
"AC009879.2",0.0765380171659606,0.0195010856285243,0.0286703837584605,0.0137250749176367
"AC009879.3",0.00222993210019827,0.0142466653656937,0,0
"AC010132.3",0.866592649346095,0.951585469521589,1.18397787952484,0.817692398846386
"AC010197.2",2.3769632870498,3.24858639326832,1.78205220606904,2.27957280140762
"AC010255.3",0.00165184912158327,0,0.000490545957660165,0.000764155343662363
"AC010323.1",0.313912424869294,1.21975211420155,0.934913624963407,1.14835332859321
"AC010325.1",0.0046026560980059,0.00554276120193414,0.00279626730976449,0.000465143545920933
"AC010326.2",0.00892806578601779,0.00178575406214591,0.00173566580326756,0.000878912919810365
"AC010327.2",0.00106308871465037,0.00110883628625365,0.0657101512512352,0.000921272126458928
"AC010422.3",0.11505018899229,0.371913959917711,0.171885776152318,0.393889251636813
"AC010422.5",0.000470887401252445,0.000199241762603884,0.00154228269239857,0.000462677599676779
"AC010422.6",0.0233299881235018,0.0446877763789238,0.0759931998939462,0.0324855027905962
"AC010422.8",1.44216775310457,1.44900683238537,1.69975111837469,1.93601143991386
"AC010463.1",0.00292937901469692,0.0101590322146933,0.0154206128734414,0.0208276438998892
"AC010522.1",0.00607700665716585,0.0105345854014212,0.00483879683756692,0.0037489240522635
"AC010531.1",0.0158637636774535,0.0444122656536367,0.063146339041077,0.0236517342226552
"AC010542.3",0.00428485830718067,0.000970267907851346,0.001180576315378,0.00113955149708804
"AC010547.4",0.106101266929235,0.160529676072197,0.125783701573135,0.0622810739500747
"AC010615.4",0.00252014773342725,0.0223863327955236,0.00711565348013617,0.00441792237605904
"AC010616.1",0.214164824104288,0.251347402919478,0.020219501357223,0.147484325083353
"AC010619.1",0.0226905041076696,0.052171619622587,0.017087479853287,0.0552342005896006
"AC010646.1",0,0.000238740258124519,0,0.000471698344315367
"AC011005.1",0,0.000272537980110497,0.000275556123764912,0
"AC011195.2",0,0,0,0.000599809461239209
"AC011330.3",0,0.00348844797858518,0.00213725147581566,0.0031108757811308
"AC011448.1",1.76230354395529,3.11503838162058,3.43075586488833,4.99496842359923
"AC011452.1",0.00263478850834773,0,9.61319521971024e-05,0.000147297406668663
"AC011455.2",0.0567137113980183,0.0764837819396491,0.101893767257998,0.0294551804175985
"AC011462.1",0.324668907524112,0.354738628681186,0.229105579140566,0.309296505052418
"AC011473.4",0,0.103569541466674,0.000295305683592145,0.000808145295471093
"AC011479.1",5.8881979202671,0.0195869756647992,0.0127047647506551,3.5490533042063
"AC011498.4",0,0.000847736910963227,0.00568076956131564,0
"AC011499.1",0.0385563357243432,0.0649175156822902,0.147368543243758,0.0617397482708191
"AC011511.1",0.332566772278374,0.26670665925778,0.414487267862552,0.351795414294403
"AC011511.4",0.121222616338562,0.324993058564174,0.48872159261946,0.254793199204897
"AC011530.1",0.000769850446045941,0.000147837199022102,0.000214551895716103,0.00126876369377132
"AC011604.2",0.172432940330387,0,0.000141117345576408,0.138132735886178
"AC012184.2",0.19818105945785,0.229753070591233,0.203564927674872,0.158252928041545
"AC012213.5",0.584006141473666,0.237315247821873,0.376208473155082,0.360432088677723
"AC012254.2",0.17374053539998,0.177699317546878,0.229104521833898,0.321395500668937
"AC012309.1",0.235029326188494,0.113364542399352,0.0790861030102768,0.181288860885888
"AC012488.2",0.0806517741588417,0.176767401311111,0.0807847398764135,0.130605709485484
"AC012531.3",0.0028416402499897,0.0114384302723814,0.00011652974461866,0.049999716892437
"AC012651.1",0.00652303461305852,0.00805330733924386,0.0025603003067441,0.0142329557245469
"AC013271.1",0.000973854001394205,0.00144936529831103,0.00350187135885179,0.00430742928750684
"AC013394.1",0.25022583568841,0.222372855671794,0.163524413159712,0.311649208930833
"AC013470.2",2.07393280891403e-05,0.007461149741484,0.000299985780233035,0.00206655786625158
"AC013489.1",0.455588568585008,0.345149193188545,0.401457601557334,0.502935149255062
"AC013717.1",0.0314095580958408,0.0345214702813016,0.0289529004880614,0.0220880623286453
"AC015688.4",0.00192381210578235,0.00268214290508251,0.00720088441456445,0.00180104267335237
"AC015802.6",0.0290798808824666,0.0880937604100021,0.0409093294096475,0.0259867187258497
"AC015813.2",0.735438709381703,0.868991949546615,0.828464087214891,0.470568583177604
"AC015871.1",0.17313892245099,0.157863237641585,0.0680654590070181,0.0979445675199774
"AC017083.3",0.0668061490068203,0.0384710295218865,0.0323987808241511,0.0308189077614451
"AC018362.3",0.0100281569347218,0.0185600768950888,0.0188081479392827,0.0167774092958837
"AC018512.1",0.00194047835051431,0.0942257081441778,0.00910210052926144,0.0826317057672704
"AC018523.2",0.689378977068903,0.674817830972439,0.872695430128503,0.559452493667201
"AC018630.2",0.0365812492376395,0.0408716415802475,0.0220578670331819,0.0202036737090645
"AC018709.1",0,0.000418031280867593,0.00113696920688606,0.00166226230870563
"AC019117.3",0.478470561917166,0.0505905070402833,0.00231045331478088,0.0756373626470226
"AC019257.8",0.306767007947708,0.180320218992642,0.0441978466637611,0.189744716004784
"AC020907.6",0,0.0138742803438717,0.00075717782778789,0.00412458919566751
"AC020909.1",0.0818824038276968,0.375723945179266,0.541739204655514,0.165186457023151
"AC020915.4",1.54323223145396,0.302190012461916,1.15752805835148,0.396191495067419
"AC020922.1",0.000537800170349258,0.00326195691443253,0.00248174080493958,0.00259816563658122
"AC021087.5",1.50528827224943,1.28508642063713,1.67261870362844,1.83423135098083
"AC021097.2",0.0138041416940675,0.00857306754657058,0.0107252366626238,0.00722875433321173
"AC021660.3",0.0153733560791179,0.00433439244282242,0.00356350340761402,0.000423768829045436
"AC022137.3",0.0364058901194375,0.0469733415084516,0.0445100935467848,0.0124734168927061
"AC022335.1",0.000646687070237865,0,0,0.000281677108162282
"AC022384.1",0.0812082691594829,0.115433266003405,0.116383557271993,0.0647228432253682
"AC022400.5",0.0494642849958475,0.128539968176273,0.13870336262775,0.0975703381531008
"AC022414.1",0.0128431596428104,0.00783994577111418,0,0.0180680837389956
"AC022415.2",0,0,0.0332262495327534,0.0136426889467197
"AC022506.1",0.0096481038336007,0.00623369091646785,0.00887371419970508,0.00330806955681052
"AC022826.2",0.130087542247287,0.115315375645718,0.104982084472996,0.152684347181581
"AC023055.1",1.00428010914291,1.20485962522866,0.915232407792575,1.16253908467374
"AC024558.2",0.00512755249726355,0.0403397050562097,0.00216099289326162,0.00291864463724394
"AC024592.3",0.461461597571236,0.602011659183203,0.475251317939038,0.623292014969277
"AC025165.3",0.521225587967386,0.674457993752901,0.681865587938711,0.491968906595408
"AC025165.6",0.0101600814917143,0.0743305235325478,0.0246049903302033,0.0218819526975725
